SCell CellID,Lon,Lat
121917233,105.445,28.8772
121917234,105.445,28.8772
121917235,105.445,28.8772
121917236,105.445,28.8772
121917745,105.449,28.9001
121917746,105.449,28.9001
121917747,105.449,28.9001
121918001,105.4192455,28.9144357
121918002,105.4192455,28.9144357
121918003,105.4192455,28.9144357
121918257,105.43,28.9093
121918258,105.43,28.9093
121918259,105.43,28.9093
121918513,105.439,28.9092
121918514,105.439,28.9092
121918515,105.439,28.9092
121918769,105.44,28.8746
121918770,105.44,28.8746
121918771,105.44,28.8746
121919025,105.437,28.8762
121919026,105.437,28.8762
121919027,105.437,28.8762
121919028,105.437,28.8762
121919029,105.437,28.8762
121919030,105.437,28.8762
121919281,105.393,28.8716
121919282,105.393,28.8716
121919283,105.393,28.8716
121919537,105.398,28.8695
121919538,105.398,28.8695
121919539,105.398,28.8695
121919541,105.398,28.8695
121919793,105.392,28.8921
121919794,105.392,28.8921
121919795,105.392,28.8921
121920049,105.421,28.8718
121920050,105.421,28.8718
121920051,105.421,28.8718
121920053,105.421,28.8718
121920305,105.438,28.9049
121920306,105.438,28.9049
121920307,105.438,28.9049
121920561,105.432,28.899
121920562,105.432,28.899
121920563,105.432,28.899
121920817,105.448,28.8934
121920818,105.448,28.8934
121920819,105.448,28.8934
121921073,105.432,28.9134
121921074,105.432,28.9134
121921075,105.432,28.9134
121921585,105.424,28.8762
121921586,105.424,28.8762
121921587,105.424,28.8762
121921841,105.4267227,28.8759338
121921842,105.4267227,28.8759338
121921843,105.4267227,28.8759338
121922097,105.432831,28.878821
121922098,105.432831,28.878821
121922099,105.432831,28.878821
121922353,105.444,28.8928
121922354,105.444,28.8928
121922355,105.444,28.8928
121922609,105.436,28.9117
121922610,105.436,28.9117
121922611,105.436,28.9117
121922865,105.4492279,28.8953796
121922866,105.4492279,28.8953796
121922867,105.4492279,28.8953796
121922868,105.4492279,28.8953796
121922869,105.4492279,28.8953796
121922870,105.4492279,28.8953796
121923121,105.4163,28.8979
121923122,105.4163,28.8979
121923378,105.418,28.8994
121923379,105.418,28.8994
121923633,105.42695,28.8808
121923634,105.42695,28.8808
121923635,105.42695,28.8808
121923889,105.42424,28.8812
121923890,105.42424,28.8812
121924145,105.426,28.8783
121924146,105.426,28.8783
121924147,105.426,28.8783
121924401,105.445,28.8961
121924402,105.445,28.8961
121924403,105.445,28.8961
121924657,105.451,28.8819
121924658,105.451,28.8819
121924659,105.451,28.8819
121924913,105.401,28.8788
121924914,105.401,28.8788
121925169,105.401,28.8875
121925170,105.401,28.8875
121925171,105.401,28.8875
121925425,105.399,28.895
121925426,105.399,28.895
121925681,105.407,28.8739
121925682,105.407,28.8739
121925683,105.407,28.8739
121925937,105.39451,28.8783
121925938,105.39451,28.8783
121925939,105.39451,28.8783
121926449,105.435,28.8854
121926450,105.435,28.8854
121926451,105.435,28.8854
121926452,105.43031,28.88404
121926705,105.4333721,28.8816006
121926706,105.4333721,28.8816006
121926707,105.4333721,28.8816006
121927217,105.4452502,28.8806214
121927218,105.4452502,28.8806214
121927219,105.4452502,28.8806214
121927473,105.4134476,28.8919
121927474,105.4134476,28.8919
121927475,105.4134476,28.8919
121927729,105.448,28.8827
121927730,105.448,28.8827
121927732,105.44766,28.87344
121927985,105.436,28.9054
121927986,105.436,28.9054
121927987,105.436,28.9054
121928497,105.451,28.8937
121928498,105.451,28.8937
121928499,105.451,28.8937
121928753,105.43674,28.8967
121928754,105.43674,28.8967
121928755,105.43674,28.8967
121929009,105.426,28.8997
121929010,105.426,28.8997
121929011,105.426,28.8997
121929012,105.426,28.8997
121929013,105.426,28.8997
121929014,105.426,28.8997
121929265,105.444,28.9249
121929266,105.444,28.9249
121929267,105.444,28.9249
121929777,105.4311,28.9157
121929778,105.43,28.915
121929779,105.43,28.915
121930033,105.4208502,28.8964883
121930034,105.4208502,28.8964883
121930035,105.4208502,28.8964883
121930289,105.439,28.8895
121930290,105.439,28.8895
121930291,105.439,28.8895
121930801,105.339,28.9128
121930802,105.339,28.9128
121930803,105.339,28.9128
121931057,105.366,28.9989
121931058,105.366,28.9989
121931059,105.366,28.9989
121931313,105.44841,28.8872
121931569,105.442,28.8795
121931570,105.442,28.8795
121931571,105.442,28.8795
121931825,105.449,28.8905
121931826,105.449,28.8905
121931827,105.449,28.8905
121932081,105.42906,28.8928
121932082,105.42906,28.8928
121932083,105.42906,28.8928
121932337,105.437,28.9195
121932338,105.437,28.9195
121932339,105.437,28.9195
121932593,105.418,28.8707
121932594,105.418,28.8707
121932595,105.418,28.8707
121932849,105.423,28.8796
121932850,105.423,28.8796
121932851,105.423,28.8796
121933105,105.425,28.8801
121933106,105.425,28.8801
121933107,105.425,28.8801
121933361,105.414,28.8782
121933362,105.414,28.8782
121933363,105.414,28.8782
121933617,105.451,28.8843
121933618,105.451,28.8843
121933619,105.451,28.8843
121933873,105.425,28.8979
121933874,105.425,28.8979
121933875,105.425,28.8979
121934385,105.452,28.8904
121934386,105.452,28.8904
121934387,105.452,28.8904
121934641,105.417,28.8893
121934642,105.417,28.8893
121934643,105.417,28.8893
121934897,105.42054,28.8937
121934900,105.42054,28.8937
121935153,105.414,28.8963
121935154,105.414,28.8963
121935155,105.414,28.8963
121935409,105.427,28.9011
121935410,105.427,28.9011
121935411,105.427,28.9011
121935412,105.4297283,28.9057098
121935665,105.407,28.8697
121935666,105.407,28.8697
121935667,105.407,28.8697
121935921,105.435,28.8722
121935922,105.435,28.8722
121935923,105.435,28.8722
121935924,105.435,28.8722
121936433,105.52901,28.9191
121936434,105.52901,28.9191
121936435,105.52901,28.9191
121936689,105.441,28.8945
121936690,105.441,28.8945
121936945,105.44,28.877
121936946,105.44,28.877
121937201,105.448,28.8791
121937202,105.448,28.8791
121937203,105.448,28.8791
121937204,105.448,28.8791
121937205,105.448,28.8791
121937206,105.448,28.8791
121937207,105.448,28.8791
121937208,105.448,28.8791
121937457,105.446,28.8937
121937458,105.446,28.8937
121937459,105.446,28.8937
121937460,105.446,28.8937
121937461,105.446,28.8937
121937462,105.446,28.8937
121937713,105.441845,28.91654
121937714,105.441845,28.91654
121937715,105.441845,28.91654
121937969,105.43348,28.908
121937970,105.43348,28.908
121938225,105.416,28.8947
121938226,105.416,28.8947
121938227,105.416,28.8947
121938481,105.443,28.8774
121938482,105.443,28.8774
121938483,105.443,28.8774
121938737,105.439,28.8831
121938738,105.439,28.8831
121938739,105.439,28.8831
121938993,105.424,28.9042
121938994,105.424,28.9042
121938995,105.424,28.9042
121939249,105.426,28.8887
121939250,105.426,28.8887
121939251,105.426,28.8887
121939761,105.434,28.9097
121939762,105.434,28.9097
121939763,105.434,28.9097
121940017,105.434,28.8724
121940018,105.434,28.8724
121940019,105.434,28.8724
121940020,105.435,28.8721
121940529,105.445,28.888
121940530,105.445,28.888
121940531,105.445,28.888
